Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
City College (MD),vs Canton McKinley (OH),@ Mount Carmel (IL),BYE,vs Oscar Smith (VA),vs Phoebus (VA),@ Ramsey (NJ),@ Brooklyn Tech (NY),@ PG Poly (MD),vs Central (PA),vs Steubenville (OH),@ Baltimore Polytechnic (MD)
Central (PA),@ Mount Carmel (IL),@ Steubenville (OH),vs Oscar Smith (VA),vs Ramsey (NJ),vs PG Poly (MD),BYE,@ Phoebus (VA),@ Brooklyn Tech (NY),@ City College (MD),vs Male (KY),vs Palumbo (PA)
PG Poly (MD),@ Steubenville (OH),vs Male (KY),vs Phoebus (VA),vs Brooklyn Tech (NY),@ Central (PA),@ Oscar Smith (VA),@ Ramsey (NJ),vs City College (MD),BYE,vs East St. Louis (IL),@ Washington Latin (DC)
Brooklyn Tech (NY),@ Male (KY),@ East St. Louis (IL),vs Ramsey (NJ),@ PG Poly (MD),BYE,@ Phoebus (VA),vs City College (MD),vs Central (PA),@ Oscar Smith (VA),vs Moeller (OH),vs Stuyvesant (NY)
Ramsey (NJ),vs East St. Louis (IL),@ Moeller (OH),@ Brooklyn Tech (NY),@ Central (PA),@ Oscar Smith (VA),vs City College (MD),vs PG Poly (MD),BYE,vs Phoebus (VA),vs Massillon (OH),@ Bergen Central (NJ)
Phoebus (VA),vs Moeller (OH),@ Massillon (OH),@ PG Poly (MD),BYE,@ City College (MD),vs Brooklyn Tech (NY),vs Central (PA),vs Oscar Smith (VA),@ Ramsey (NJ),@ Canton McKinley (OH),vs Norfolk (VA)
Oscar Smith (VA),vs Massillon (OH),@ Canton McKinley (OH),@ Central (PA),@ City College (MD),vs Ramsey (NJ),vs PG Poly (MD),BYE,@ Phoebus (VA),vs Brooklyn Tech (NY),vs Mount Carmel (IL),@ Highland Springs (VA)
Canton McKinley (OH),@ City College (MD),vs Oscar Smith (VA),BYE,vs Massillon (OH),vs Moeller (OH),@ East St. Louis (IL),@ Male (KY),@ Steubenville (OH),vs Mount Carmel (IL),vs Phoebus (VA),vs Upper Arlington (OH)
Mount Carmel (IL),vs Central (PA),vs City College (MD),vs Massillon (OH),vs East St. Louis (IL),vs Steubenville (OH),BYE,@ Moeller (OH),@ Male (KY),@ Canton McKinley (OH),@ Oscar Smith (VA),@ Muskegon (MI)
Steubenville (OH),vs PG Poly (MD),vs Central (PA),vs Moeller (OH),vs Male (KY),@ Mount Carmel (IL),@ Massillon (OH),@ East St. Louis (IL),vs Canton McKinley (OH),BYE,@ City College (MD),vs Central-Pittsburgh (PA)
Male (KY),vs Brooklyn Tech (NY),@ PG Poly (MD),vs East St. Louis (IL),@ Steubenville (OH),BYE,@ Moeller (OH),vs Canton McKinley (OH),vs Mount Carmel (IL),@ Massillon (OH),@ Central (PA),@ duPont Manual (KY)
East St. Louis (IL),@ Ramsey (NJ),vs Brooklyn Tech (NY),@ Male (KY),@ Mount Carmel (IL),@ Massillon (OH),vs Canton McKinley (OH),vs Steubenville (OH),BYE,vs Moeller (OH),@ PG Poly (MD),vs Lincoln-Way East (IL)
Moeller (OH),@ Phoebus (VA),vs Ramsey (NJ),@ Steubenville (OH),BYE,@ Canton McKinley (OH),vs Male (KY),vs Mount Carmel (IL),vs Massillon (OH),@ East St. Louis (IL),@ Brooklyn Tech (NY),vs Colerain (OH)
Massillon (OH),@ Oscar Smith (VA),vs Phoebus (VA),@ Mount Carmel (IL),@ Canton McKinley (OH),vs East St. Louis (IL),vs Steubenville (OH),BYE,@ Moeller (OH),vs Male (KY),@ Ramsey (NJ),vs Lakewood (OH)
