Year ,Football Champion
1974,Steubenville (OH)
1975,Ramsey (NJ)
1976,Moeller (OH)/Mount Carmel (IL)
1977,Central (PA)/Moeller (OH)
1978,Central (PA)
1979,Moeller (OH)
1980,Moeller (OH)
1981,Moeller (OH)/Central (PA)/Mount Carmel (IL)
1982,Moeller (OH)
1983,Mount Carmel (IL)
1984,Canton McKinley (OH)/Mount Carmel (IL)
1985,East St. Louis (IL)
1986,East St. Louis (IL)
1987,City College (MD)
1988,PG Poly (MD)/Mount Carmel (IL)
1989,Male (KY)
1990,Male (KY)/East St. Louis (IL)
1991,City College (MD)
1992,Phoebus (VA)
1993,Central (PA)/Mount Carmel (IL)
1994,Moeller (OH)/Central (PA)
1995,Steubenville (OH)/Oscar Smith (VA)/Mount Carmel (OH)
1996,City College (MD)
1997,Canton McKinley (OH)
1998,Canton McKinley (OH)/Steubenville (OH)
1999,Moeller (OH)/Central (PA)
2000,Ramsey (NJ)/Oscar Smith (VA)
2001,City College (MD)
2002,Steubenville (OH)
2003,Steubenville (OH)
2004,Ramsey (NJ)
2005,City College (MD)/Steubenville (OH)
2006,City College (MD)
2007,Moeller (OH)/Steubenville (OH)
2008,Phoebus (VA)/Oscar Smith (VA)
2009,Ramsey (NJ)
2010,Ramsey (NJ)
2011,Ramsey (NJ)
2012,Steubenville (OH))/Central (PA)
2013,Massillon (OH)/Mount Carmel (IL)
2014,East St. Louis (IL)/Phoebus (VA)/Steubenville (OH)
2015,Male (KY)
2016,Oscar Smith (VA)
2017,East St. Louis (IL)
2018,City College (MD)
2019,Mount Carmel (IL)
2020,Central (PA)
2021,City College (MD)/Steubenville (OH)
2022,City College (MD)
2023,Massillon (OH)
2024,City College (MD)
2025,City College (MD)
2026,City College (MD)
