,City College (MD),,,Central (PA),,,PG Poly (MD),,,Brooklyn Tech (NY),,,Ramsey (NJ),,,Phoebus (VA),,,Oscar Smith (VA),,,Canton McKinley (OH),,,Mount Carmel (IL),,,Steubenville (OH),,,Male (KY),,,East St. Louis (IL),,,Moeller (OH),,,Massillon (OH),,,,,
,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,W,L,Win %,,,
City College (MD),,,,27,2,0.931,20,9,0.690,29,0,1.000,17,12,0.586,25,4,0.862,19,10,0.655,11,1,0.917,8,4,0.667,10,5,0.667,8,4,0.667,6,6,0.500,9,3,0.750,10,2,0.833,,,
Central (PA),2,27,0.069,,,,20,9,0.690,23,6,0.793,20,9,0.690,17,12,0.586,18,11,0.621,8,4,0.667,6,6,0.500,2,10,0.167,10,5,0.667,6,6,0.500,9,3,0.750,5,7,0.417,,,
PG Poly (MD),9,20,0.310,9,20,0.310,,,,18,11,0.621,14,15,0.483,11,18,0.379,12,17,0.414,5,7,0.417,4,8,0.333,3,9,0.250,6,6,0.500,5,10,0.333,7,5,0.583,6,6,0.500,,,
Brooklyn Tech (NY),0,29,0.000,6,23,0.207,11,18,0.379,,,,11,18,0.379,8,21,0.276,9,20,0.310,4,8,0.333,4,8,0.333,2,10,0.167,5,7,0.417,3,9,0.250,6,9,0.400,2,10,0.167,,,
Ramsey (NJ),12,17,0.414,9,20,0.310,15,14,0.517,18,11,0.621,,,,12,17,0.414,13,16,0.448,5,7,0.417,6,6,0.500,4,8,0.333,6,6,0.500,4,8,0.333,7,5,0.583,7,8,0.467,,,
Phoebus (VA),4,25,0.138,12,17,0.414,18,11,0.621,21,8,0.724,17,12,0.586,,,,15,14,0.517,8,7,0.533,5,7,0.417,3,9,0.250,7,5,0.583,5,7,0.417,8,4,0.667,6,6,0.500,,,
Oscar Smith (VA),10,19,0.345,11,18,0.379,17,12,0.586,20,9,0.690,16,13,0.552,14,15,0.483,,,,6,6,0.500,6,9,0.400,4,8,0.333,7,5,0.583,5,7,0.417,8,4,0.667,4,8,0.333,,,
Canton McKinley (OH),1,11,0.083,4,8,0.333,7,5,0.583,8,4,0.667,7,5,0.583,7,8,0.467,6,6,0.500,,,,15,14,0.517,5,24,0.172,16,13,0.552,11,18,0.379,18,11,0.621,12,17,0.414,,,
Mount Carmel (IL),4,8,0.333,6,6,0.500,8,4,0.667,8,4,0.667,6,6,0.500,7,5,0.583,9,6,0.600,14,15,0.483,,,,12,17,0.414,19,10,0.655,10,19,0.345,17,12,0.586,8,21,0.276,,,
