School,Total,Years
Steubenville (OH),11,"1927, 1954, 1960, 1968, 1969, 1970, 1990, 1997, 2003, 2009, 2014"
Massillon (OH),11,"1935, 1936, 1939, 1940, 1950, 1952, 1953, 1959, 1961, 2023, 2026"
Central (PA),8,"1896, 1900, 1905, 1933, 1950, 1959, 1965, 1977"
City College (MD),7,"1898, 1906, 1915, 1926, 2022, 2024, 2025"
Moeller (OH),5,"1976, 1977, 1979, 1980, 1982"
Ramsey (NJ),3,"2009, 2010, 2011"
Canton McKinley (OH),2,"1934, 1997"
Male (KY),1,1989
East St. Louis (IL),1,1985
Oscar Smith (VA),1,2016
