School,Head FB Coach,Total_Seasons_at_School,First Season,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Overall Record,Total W,Total L,Win %,Total Games
City College (MD),Messay Hailemariam,11,2015,,,,,,,,,,,,,,,,,,9-2,8-3,12-1,14-1,12-2,11-2,9-1,16-0,12-2,14-1,15-1,15-1,147-17,147,17,0.896,164
Central (PA),Tim Roken,6,2020,,,,,,,,,,,,,,,,,,,,,,,12-2,8-2,9-2,8-3,8-3,8-3,7-4,60-19,60,19,0.759,79
PG Poly (MD),Bill McGregor,8,2018,,,,,,,,,,,,,,,,,,,,,,8-3,3-7,6-5,5-5,7-4,6-4,6-4,4-6,45-38,45,38,0.542,83
Brooklyn Tech (NY),Joe Spagnolo,5,2021,,,,,,,,,,,,,,,,,,,,,,,,4-6,6-4,9-4,9-2,8-3,8-3,44-22,44,22,0.667,66
Ramsey (NJ),Dan Sabella,6,2020,,,,,,,,,,,,,,,,,,,,,,,6-5,7-3,8-4,7-4,7-3,8-3,9-2,52-24,52,24,0.684,76
Phoebus (VA),Alonzo Cooley,5,2021,,,,,,,,,,,,,,,,,,,,,,,,7-4,6-5,4-6,6-4,6-4,5-5,34-28,34,28,0.548,62
Oscar Smith (VA),Chris Scott,28,1998,7-4,9-2,10-1,9-2,6-4,5-5,8-3,10-1,7-4,6-4,10-1,9-2,7-3,9-2,6-4,4-6,8-3,9-2,13-0,11-2,7-4,8-3,8-3,6-4,5-6,5-5,9-2,9-2,8-3,231-87,231,87,0.726,318
Canton McKinley (OH),Ryan Miller,1,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-7,4-6,7-13,7,13,0.350,20
Mount Carmel (IL),Jordan Lynch,8,2018,,,,,,,,,,,,,,,,,,,,,8-3,12-1,8-3,5-5,7-3,5-5,7-3,6-4,5-5,63-32,63,32,0.663,95
Steubenville (OH),Reno Saccoccia Jr.,15,2011,,,,,,,,,,,,,,9-2,10-1,7-3,10-1,9-2,8-3,7-5,7-4,7-5,9-3,9-1,10-1,11-2,14-2,12-2,7-4,146-41,146,41,0.781,187
Male (KY),Chris Wolfe,16,2010,,,,,,,,,,,,,8-3,6-4,6-4,9-2,9-2,11-1,6-5,6-5,5-6,5-5,6-5,4-6,7-4,8-3,8-3,7-4,6-4,120-66,120,66,0.645,186
East St. Louis (IL),Darren Sunkett,5,2021,,,,,,,,,,,,,,,,,,,,,,,,2-8,6-4,4-6,7-3,5-5,9-2,33-28,33,28,0.541,61
Moeller (OH),Bert Bathiany,4,2022,,,,,,,,,,,,,,,,,,,,,,,,,5-5,3-7,9-2,7-4,5-5,29-23,29,23,0.558,52
Massillon (OH),Nate Moore,11,2015,,,,,,,,,,,,,,,,,,6-4,7-4,7-3,9-3,7-4,10-2,8-2,12-2,15-1,6-4,7-4,15-1,109-34,109,34,0.762,143
