School,Status,Division,Estimated_Performance_Bonus,Estimated_Total_Hybrid_Payout,Difference_From_Equal,Performance_Pool_Index
City College (MD),Current,East,37118,162118,12118,0.8938500590318772
Central (PA),Current,East,26179,151179,1179,0.6304207536934809
PG Poly (MD),Current,East,14304,139304,-10696,0.34444752544752544
Brooklyn Tech (NY),Current,East,24061,149061,-939,0.5794135741408469
Ramsey (NJ),Current,East,25854,150854,854,0.6225959985959986
Phoebus (VA),Current,East,19113,144113,-5887,0.46026350553623274
Oscar Smith (VA),Current,East,26115,151115,1115,0.628894508439963
Canton McKinley (OH),Current,West,17559,142559,-7441,0.4228401672038035
Mount Carmel (IL),Current,West,17307,142307,-7693,0.41677012667921753
Steubenville (OH),Current,West,34122,159122,9122,0.8217142857142857
Male (KY),Current,West,15711,140711,-9289,0.3783530425348607
East St. Louis (IL),Current,West,22795,147795,-2205,0.5489428507610327
Moeller (OH),Current,West,21532,146532,-3468,0.518514119786847
Massillon (OH),Current,West,33394,158394,8394,0.8041613644340917
Washington Latin (DC),Expansion,East,29086,154086,4086,0.700428512168772
Bergen Central (NJ),Expansion,East,28808,153808,3808,0.6937454062259258
Lincoln-Way East (IL),Expansion,West,29357,154357,4357,0.7069610325792145
Carmel (IN),Expansion,West,27585,152585,2585,0.6642841539296085
