school_id,school,fb_head_coach,first_season_as_head_coach,fb_head_coach_salary,asst_fb_coaches_salary_pool,state_championships_all_time,last_state_champ,alltime_wins,top25_ranked_weeks,last_year_ranked_t25_national_poll,2026_final_national_rank,ath__dept_budget,fb_expenses_non_salaries,total_fb_expenses,b_bb_budget,remaining_sports_budget_+_admin,total_sports,fb_season_tix_pct,media_total_minutes_watched,social_media_total_annual_impressions,state,division,city,power_rank,history_score,competitive_score,resource_score,program_power_index,program_archetype,national_titles,conference_titles,coach_wins,coach_losses,current_coach_win_pct,winning_series_count,avg_head_to_head_win_pct
1001,City College (MD),Messay Hailemariam,2014.0,350000.0,380000,32.0,2026.0,903.0,517.0,2026.0,2.0,"$5,455,152 ",857454,2390106,550000,2515046,27.0,0.35,,,MD,East,Baltimore,2,79.8,100.0,35.0,75.7,Culture Power,7.0,12.0,147,17,0.896,12,0.748
1002,Central (PA),Tim Roken,2019.0,245000.0,288115,26.0,2024.0,753.0,368.0,2025.0,64.0,"$4,522,667 ",507585,1905043,407541,2210083,25.0,0.2,,,PA,East,Philadelphia,4,66.5,67.1,35.0,58.8,Volatile Talent Program,8.0,8.0,60,19,0.759,8,0.547
1003,PG Poly (MD),Bill McGregor,2017.0,235750.0,250036,12.0,2018.0,692.0,298.0,2023.0,82.0,"$4,211,593 ",604525,1840420,454745,1916428,23.0,0.27,,,MD,East,Hyattsville,13,11.0,29.6,35.0,23.5,Development / Rebuild Program,0.0,1.0,45,38,0.542,2,0.418
1004,Brooklyn Tech (NY),Joe Spagnolo,2020.0,235000.0,287441,10.0,2025.0,481.0,21.0,2025.0,89.0,"$4,129,126 ",358758,1583410,587602,1958114,26.0,0.14,,,NY,East,Brooklyn,14,0.0,26.1,35.0,17.9,Development / Rebuild Program,0.0,0.0,44,22,0.667,0,0.278
1005,Ramsey (NJ),Ryan Miller,2019.0,235000.0,249886,18.0,2023.0,562.0,19.0,2024.0,75.0,"$4,200,387 ",317852,1537394,407508,2255485,27.0,0.29,,,NJ,East,Ramsey,10,32.9,45.4,35.0,37.8,Development / Rebuild Program,3.0,6.0,52,24,0.684,3,0.451
1006,Phoebus (VA),Dan Sabella,2020.0,257500.0,296369,13.0,2022.0,822.0,418.0,2024.0,51.0,"$4,755,434 ",808542,2219017,338985,2197432,25.0,0.32,,,VA,East,Norfolk / Hampton Roads,11,21.8,43.8,35.0,32.8,Development / Rebuild Program,0.0,3.0,34,28,0.548,7,0.49
1007,Oscar Smith (VA),Alonzo Cooley,1997.0,257000.0,312500,9.0,2024.0,807.0,394.0,2023.0,69.0,"$4,606,472 ",936000,2443500,404425,1758547,22.0,0.33,,,VA,East,Chesapeake,9,28.3,54.3,35.0,39.1,Development / Rebuild Program,1.0,4.0,228,87,0.724,5,0.482
1008,Canton McKinley (OH),Chris Scott,2024.0,225500.0,275604,8.0,2019.0,888.0,432.0,2024.0,51.0,"$4,566,715 ",903225,2262640,391454,1912621,24.0,0.34,,,OH,West,Canton,12,32.6,23.0,35.0,29.8,Development / Rebuild Program,2.0,3.0,7,13,0.35,6,0.452
1009,Mount Carmel (IL),Jordan Lynch,2017.0,255000.0,242464,7.0,2023.0,702.0,227.0,2026.0,35.0,"$3,988,575 ",358411,1450266,388547,2149762,18.0,25.0,,,IL,West,Chicago,5,34.7,52.9,65.0,48.7,Resource-Backed Underachiever,0.0,9.0,63,32,0.663,6,0.508
1010,Steubenville (OH),Reno Saccoccia Jr.,2010.0,263252.0,326115,41.0,2025.0,1002.0,574.0,2026.0,7.0,"$5,321,425 ",754114,2321824,325485,2674116,22.0,0.37,,,OH,West,Steubenville,1,94.2,86.4,35.0,76.7,Culture Power,11.0,10.0,146,41,0.781,12,0.693
1011,Male (KY),Chris Wolfe,2009.0,225000.0,275313,19.0,2021.0,933.0,487.0,2021.0,47.0,"$5,001,242 ",425141,1742343,601104,2657795,27.0,0.21,,,KY,West,Louisville,6,30.2,38.2,61.5,40.8,Resource-Backed Underachiever,1.0,3.0,117,66,0.639,2,0.427
1012,East St. Louis (IL),Darren Sunkett,2020.0,221410.0,281389,8.0,2024.0,841.0,469.0,2026.0,10.0,"$4,452,158 ",505041,1852005,328471,2271682,20.0,0.25,,,IL,West,East St. Louis,7,32.5,54.1,35.0,40.7,Volatile Talent Program,1.0,5.0,33,28,0.541,9,0.592
1013,Moeller (OH),Bert Bathiany,2021.0,257850.0,250606,10.0,2015.0,739.0,464.0,2019.0,98.0,"$4,458,922 ",399857,1660132,300485,2498305,18.0,0.23,,,OH,West,Cincinnati,8,56.6,25.7,35.0,40.4,Volatile Talent Program,5.0,9.0,29,23,0.558,1,0.37
1014,Massillon (OH),Nate Moore,2014.0,300000.0,350000,29.0,2026.0,987.0,542.0,2026.0,1.0,"$5,755,482 ",795852,2347094,389552,3018836,24.0,0.35,,,OH,West,Massillon,3,70.3,65.8,35.0,59.9,Legacy Power,11.0,2.0,109,34,0.762,8,0.527
