power_rank,school_id,school,fb_head_coach,national_titles,conference_titles,alltime_wins,coach_wins,coach_losses,current_coach_win_pct,winning_series_count,avg_head_to_head_win_pct,fb_head_coach_salary,total_fb_expenses,ath_dept_budget,media_total_minutes_watched,social_media_total_annual_impressions,history_score,competitive_score,resource_score,program_power_index,program_archetype
1,1010,Steubenville (OH),Reno Saccoccia Jr.,11.0,10.0,1002.0,146,41,0.781,12,0.693,0.0,0.0,0,0.0,0.0,94.2,86.4,35.0,76.7,Culture Power
2,1001,City College (MD),Messay Hailemariam,7.0,12.0,903.0,147,17,0.896,12,0.748,0.0,0.0,0,0.0,0.0,79.8,100.0,35.0,75.7,Culture Power
3,1014,Massillon (OH),Nate Moore,11.0,2.0,987.0,109,34,0.762,8,0.527,0.0,0.0,0,0.0,0.0,70.3,65.8,35.0,59.9,Legacy Power
4,1002,Central (PA),Tim Roken,8.0,8.0,753.0,60,19,0.759,8,0.547,0.0,0.0,0,0.0,0.0,66.5,67.1,35.0,58.8,Volatile Talent Program
5,1009,Mount Carmel (IL),Jordan Lynch,0.0,9.0,702.0,63,32,0.663,6,0.508,255000.0,0.0,0,0.0,0.0,34.7,52.9,65.0,48.7,Resource-Backed Underachiever
6,1011,Male (KY),Chris Wolfe,1.0,3.0,933.0,117,66,0.639,2,0.427,225000.0,0.0,0,0.0,0.0,30.2,38.2,61.5,40.8,Resource-Backed Underachiever
7,1012,East St. Louis (IL),Darren Sunkett,1.0,5.0,841.0,33,28,0.541,9,0.592,0.0,0.0,0,0.0,0.0,32.5,54.1,35.0,40.7,Volatile Talent Program
8,1013,Moeller (OH),Bert Bathiany,5.0,9.0,739.0,29,23,0.558,1,0.37,0.0,0.0,0,0.0,0.0,56.6,25.7,35.0,40.4,Volatile Talent Program
9,1007,Oscar Smith (VA),Alonzo Cooley,1.0,4.0,807.0,228,87,0.724,5,0.482,0.0,0.0,0,0.0,0.0,28.3,54.3,35.0,39.1,Development / Rebuild Program
10,1005,Ramsey (NJ),Ryan Miller,3.0,6.0,562.0,52,24,0.684,3,0.451,0.0,0.0,0,0.0,0.0,32.9,45.4,35.0,37.8,Development / Rebuild Program
11,1006,Phoebus (VA),Dan Sabella,0.0,3.0,822.0,34,28,0.548,7,0.49,0.0,0.0,0,0.0,0.0,21.8,43.8,35.0,32.8,Development / Rebuild Program
12,1008,Canton McKinley (OH),Chris Scott,2.0,3.0,888.0,7,13,0.35,6,0.452,0.0,0.0,0,0.0,0.0,32.6,23.0,35.0,29.8,Development / Rebuild Program
13,1003,PG Poly (MD),Bill McGregor,0.0,1.0,692.0,45,38,0.542,2,0.418,0.0,0.0,0,0.0,0.0,11.0,29.6,35.0,23.5,Development / Rebuild Program
14,1004,Brooklyn Tech (NY),Joe Spagnolo,0.0,0.0,481.0,44,22,0.667,0,0.278,0.0,0.0,0,0.0,0.0,0.0,26.1,35.0,17.9,Development / Rebuild Program
