talent_access_rank,school_id,school,total_player_matches,strict_player_matches,regional_player_matches,strict_top_25,strict_top_50,strict_top_100,strict_top_300,regional_top_25,regional_top_50,regional_top_100,regional_top_300,avg_best_rank,best_available_rank,strict_talent_score,regional_gravity_score,talent_access_gap
1,2004,Canton McKinley (OH),83,29,83,2,5,9,28,8,14,26,79,155.7710843373494,1,119,361,242
2,2010,Colerain (OH),83,29,83,2,5,9,28,8,14,26,79,155.7710843373494,1,119,361,242
3,2015,Massillon (OH),83,29,83,2,5,9,28,8,14,26,79,155.7710843373494,1,119,361,242
4,2016,Moeller (OH),83,29,83,2,5,9,28,8,14,26,79,155.7710843373494,1,119,361,242
5,2024,Steubenville (OH),83,29,83,2,5,9,28,8,14,26,79,155.7710843373494,1,119,361,242
6,2017,Mount Carmel (IL),69,22,69,1,4,8,21,4,8,17,68,171.53623188405797,3,91,232,141
7,2018,Muskegon (MI),81,14,81,0,1,4,14,4,11,23,79,159.54320987654322,1,37,288,251
8,2002,Bluefield (WV),92,0,92,0,0,0,0,12,20,33,86,147.68478260869566,1,0,478,478
9,2007,Central (PA),83,0,83,0,0,0,0,12,20,31,78,144.24096385542168,1,0,462,462
10,2008,Central-Pittsburgh (PA),83,0,83,0,0,0,0,12,20,31,78,144.24096385542168,1,0,462,462
11,2020,Palumbo (PA),83,0,83,0,0,0,0,12,20,31,78,144.24096385542168,1,0,462,462
12,2014,Male (KY),100,0,100,0,0,0,0,8,15,31,96,156.31,1,0,405,405
13,2019,Oscar Smith (VA),64,0,64,0,0,0,0,11,17,25,61,142.515625,2,0,390,390
14,2022,Phoebus (VA),64,0,64,0,0,0,0,11,17,25,61,142.515625,2,0,390,390
15,2009,City College (MD),61,0,61,0,0,0,0,10,15,25,56,145.55737704918033,2,0,361,361
16,2021,PG Poly (MD),61,0,61,0,0,0,0,10,15,25,56,145.55737704918033,2,0,361,361
17,2028,Wilmington Tech (DE),51,0,51,0,0,0,0,10,15,22,48,138.58823529411765,2,0,341,341
18,2005,Carmel (IN),81,0,81,0,0,0,0,5,12,24,79,154.90123456790124,1,0,309,309
19,2006,Cass Tech (MI),81,0,81,0,0,0,0,4,11,23,79,159.54320987654322,1,0,288,288
20,2012,King (MI),81,0,81,0,0,0,0,4,11,23,79,159.54320987654322,1,0,288,288
21,2001,Bergen Central (NJ),40,0,40,0,0,0,0,7,10,15,36,154.25,3,0,236,236
22,2023,Ramsey (NJ),40,0,40,0,0,0,0,7,10,15,36,154.25,3,0,236,236
23,2026,University (NJ),40,0,40,0,0,0,0,7,10,15,36,154.25,3,0,236,236
24,2011,East St. Louis (IL),69,0,69,0,0,0,0,4,8,17,68,171.53623188405797,3,0,232,232
25,2013,Lincoln-Way East (IL),69,0,69,0,0,0,0,4,8,17,68,171.53623188405797,3,0,232,232
26,2003,Brooklyn Tech (NY),39,0,39,0,0,0,0,7,10,14,35,156.56410256410257,3,0,231,231
27,2025,Stuyvesant (NY),39,0,39,0,0,0,0,7,10,14,35,156.56410256410257,3,0,231,231
28,2027,Washington Latin (DC),36,0,36,0,0,0,0,6,9,14,34,146.88888888888889,2,0,213,213
